,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2020-06-10,34247.050781,-0.9997,0.143,0.753,0.104,34029.140625,34350.171875,33949.460938,15500.0
2020-06-11,33538.371094,-0.9985,0.082,0.867,0.051,34214.691406,34219.390625,33480.421875,20900.0
2020-06-12,33780.890625,-0.9998,0.137,0.783,0.08,32436.689453,33856.269531,32348.099609,23000.0
2020-06-15,33228.800781,-0.9997,0.117,0.813,0.069,33670.550781,33670.550781,32923.738281,18400.0
2020-06-16,33605.21875,-0.9998,0.139,0.771,0.09,33853.71875,34022.011719,32953.300781,27400.0
2020-06-17,33507.921875,-0.9985,0.11,0.802,0.088,33438.308594,33933.660156,33332.960938,20200.0
2020-06-18,34208.050781,-0.9997,0.129,0.791,0.081,33371.519531,34276.011719,33371.519531,21200.0
2020-06-19,34731.730469,-0.9998,0.136,0.781,0.083,34335.378906,34848.371094,34136.390625,27900.0
2020-06-22,34911.320313,-0.9997,0.121,0.8,0.079,34892.03125,35213.519531,34794.398438,25100.0
2020-06-23,35430.429688,-0.9999,0.141,0.787,0.073,35015.730469,35482.160156,34843.691406,25200.0
2020-06-24,34868.980469,-0.9997,0.116,0.808,0.075,35679.738281,35706.550781,34794.929688,26600.0
2020-06-25,34842.101563,-0.9999,0.13,0.816,0.054,34525.390625,35081.609375,34499.78125,24600.0
2020-06-26,35171.269531,-0.9999,0.15,0.765,0.085,35144.78125,35254.878906,34910.339844,24800.0
2020-06-29,34961.519531,-0.9997,0.124,0.8,0.076,34926.949219,35032.359375,34662.058594,18300.0
2020-06-30,34915.800781,-0.9998,0.119,0.818,0.063,35168.300781,35233.910156,34812.800781,18500.0
2020-07-01,35414.449219,-0.9998,0.141,0.764,0.095,35009.589844,35467.230469,34927.199219,19400.0
2020-07-02,35843.699219,-0.9986,0.105,0.814,0.081,35604.0,36014.921875,35595.359375,20600.0
2020-07-03,36021.421875,-0.9997,0.121,0.807,0.072,36025.378906,36110.210938,35872.378906,16500.0
2020-07-06,36487.28125,-0.9995,0.113,0.808,0.08,36313.460938,36661.660156,36254.019531,22300.0
2020-07-07,36674.519531,-0.9996,0.104,0.835,0.061,36660.351563,36723.269531,36271.089844,20600.0
2020-07-08,36329.011719,-0.9998,0.124,0.809,0.067,36738.378906,36828.429688,36234.171875,24800.0
2020-07-09,36737.691406,-0.9998,0.121,0.823,0.056,36450.691406,36806.300781,36422.300781,17400.0
2020-07-10,36594.328125,-0.9977,0.086,0.851,0.063,36555.128906,36748.890625,36401.109375,20900.0
2020-07-13,36693.691406,-0.9997,0.113,0.822,0.065,36880.660156,37024.199219,36533.960938,16500.0
2020-07-14,36033.058594,-0.9992,0.118,0.788,0.094,36517.28125,36538.101563,35877.421875,14100.0
2020-07-15,36051.808594,-0.9992,0.119,0.786,0.096,36314.761719,36810.25,35894.960938,23500.0
2020-07-16,36471.679688,-0.9996,0.107,0.825,0.067,36401.199219,36524.621094,36038.410156,18500.0
2020-07-17,37020.140625,-0.9996,0.127,0.783,0.09,36547.75,37125.980469,36512.921875,16500.0
2020-07-20,37418.988281,-0.9999,0.131,0.802,0.067,37409.03125,37478.871094,37185.78125,20100.0
2020-07-21,37930.328125,-0.999,0.091,0.843,0.065,37823.609375,37990.550781,37742.050781,22700.0
2020-07-22,37871.519531,-0.9999,0.138,0.784,0.078,38178.070313,38199.269531,37601.621094,22300.0
2020-07-23,38140.46875,-0.9995,0.102,0.836,0.062,37814.921875,38225.03125,37738.589844,19600.0
2020-07-24,38128.898438,-0.9998,0.114,0.827,0.059,37949.589844,38235.730469,37748.410156,19900.0
2020-07-27,37934.730469,-0.9999,0.161,0.775,0.064,38275.339844,38275.339844,37769.441406,18600.0
2020-07-28,38492.949219,-0.9992,0.099,0.832,0.069,38052.179688,38554.71875,37998.128906,15500.0
2020-07-29,38071.128906,-0.9997,0.125,0.797,0.079,38427.148438,38617.03125,37884.410156,17600.0
2020-07-30,37736.070313,-0.9996,0.128,0.775,0.098,38262.828125,38413.808594,37678.421875,14800.0
2020-07-31,37606.890625,-0.9996,0.115,0.809,0.077,37847.878906,37897.78125,37431.679688,20200.0
